hip,bayer,con
73473,Del,Lib
73540,Pi-1,Oct
73555,Bet,Boo
73568,Ome,Boo
73714,Sig,Lib
73745,Psi,Boo
73771,Pi-2,Oct
73776,Eta,Cir
73807,Pi,Lup
73945,Nu,Lib
74117,Lam,Lup
74296,Ome,Oct
74376,Kap-1,Lup
74380,Kap-2,Lup
74392,Iot-1,Lib
74395,Zet,Lup
74493,Iot-2,Lib
74596,Chi,Boo
74666,Del,Boo
74778,Del,Cir
74785,Bet,Lib
74824,Bet,Cir
74837,Eps,Cir
74911,Mu,Lup
74946,Gam,TrA
75049,Omi,CrB
75097,Gam,UMi
75118,Omi,Lib
75141,Del,Lup
75177,Phi-1,Lup
75181,Nu-2,Lup
75206,Nu-1,Lup
75264,Eps,Lup
75304,Phi-2,Lup
75312,Eta,CrB
75323,Gam,Cir
75379,Eps,Lib
75411,Mu-1,Boo
75415,Mu-2,Boo
75439,Ups,Lup
75458,Iot,Dra
75530,Tau-1,Ser
75695,Bet,CrB
75730,Zet-1,Lib
75944,Zet-3,Lib
75973,Nu-1,Boo
76008,The,UMi
76013,Kap-1,Aps
76041,Nu-2,Boo
76069,Tau-2,Ser
76126,Zet-4,Lib
76127,The,CrB
76267,Alp,CrB
76276,Del,Ser
76297,Gam,Lup
76307,Mu,CrB
76333,Gam,Lib
76337,Tau-3,Ser
76423,Tau-4,Ser
76424,Tau-5,Ser
76440,Eps,TrA
76470,Ups,Lib
76534,Phi,Boo
76552,Ome,Lup
76600,Tau,Lib
76669,Zet-1,CrB
76705,Psi-1,Lup
76750,Kap-2,Aps
76810,Tau-6,Ser
76852,Iot,Ser
76866,Chi,Ser
76878,Tau-7,Ser
76880,Kap,Lib
76945,Psi-2,Lup
76952,Gam,CrB
76996,Rho,Oct
77048,Pi,CrB
77052,Psi,Ser
77055,Zet,UMi
77060,Eta,Lib
77070,Alp,Ser
77111,Tau-8,Ser
77233,Bet,Ser
77257,Lam,Ser
77336,Ups,Ser
77450,Kap,Ser
77512,Del,CrB
77516,Mu,Ser
77578,Ome,Ser
77622,Eps,Ser
77634,Chi,Lup
77655,Kap,CrB
77661,Rho,Ser
77760,Chi,Her
77811,Lam,Lib
77853,The,Lib
77952,Bet,TrA
77982,Kap,TrA
78012,Lam,CrB
78072,Gam,Ser
78104,Rho,Sco
78105,Xi-1,Lup
78106,Xi-2,Lup
78132,Phi,Ser
78159,Eps,CrB
78265,Pi,Sco
78384,Eta,Lup
78401,Del,Sco
78459,Rho,CrB
78493,Iot,CrB
78527,The,Dra
78554,Pi,Ser
78592,Ups,Her
78639,Eta,Nor
78662,Iot-1,Nor
78820,Bet-1,Sco
78821,Bet-2,Sco
78914,Del,Nor
78918,The,Lup
78933,Ome-1,Sco
78990,Ome-2,Sco
79043,Kap,Her
79045,Kap,Her
79101,Phi,Her
79119,Tau,CrB
79153,Iot-2,Nor
79374,Nu,Sco
